X,Y,FID,OBJECTID,ID,INV_MOVIMI,F35DOV_TIP,TIPO,SUBTIPO_MO,SUBTIPO,CLAS_MAPA,ETIQUETA_M,ESRI_OID
-8181855.7928,555703.6006,5123,-7.58397098089e+56,11636,34641,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6051
-8164384.8172,567791.392099999,5124,-7.58397098089e+56,11637,34642,72,Reptación,8,Reptacion de suelos,Reptación,lr,6052
-8176982.4728,569365.375100002,5125,-7.58397098089e+56,11638,34643,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,6053
-8088681.9975,882813.805399999,5126,-7.58397098089e+56,9758,33426,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,4711
-8439746.0701,802671.044500001,5127,-7.58397098089e+56,8555,32884,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,3911
-8178587.3288,568822.0832,5128,-7.58397098089e+56,11639,34644,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6054
-8175680.6533,567881.421799999,5129,-7.58397098089e+56,11640,34645,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,6055
-8166219.4242,600440.578400001,5130,-7.58397098089e+56,11642,34646,72,Reptación,8,Reptacion de suelos,Reptación,lr,6056
-8164171.1455,602805.467399999,5131,-7.58397098089e+56,11643,34647,72,Reptación,8,Reptacion de suelos,Reptación,lr,6057
-8162034.1206,606450.801100001,5132,-7.58397098089e+56,11646,34648,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6058
-8164416.3577,597066.079399999,5133,-7.58397098089e+56,11647,34649,67,Caida,20,Caida de detritos,Caida,cd,6059
-8162679.7736,596500.521699999,5134,-7.58397098089e+56,11648,34650,67,Caida,20,Caida de detritos,Caida,cd,6060
-8175606.4402,567850.377,5135,-7.58397098089e+56,11652,34651,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6063
-8162924.3672,604713.217099998,5136,-7.58397098089e+56,11650,34652,72,Reptación,8,Reptacion de suelos,Reptación,lr,6061
-8165095.0973,604546.4188,5137,-7.58397098089e+56,11651,34653,72,Reptación,8,Reptacion de suelos,Reptación,lr,6062
-8182786.5474,547248.9199,5138,-7.58397098089e+56,11653,34654,72,Reptación,8,Reptacion de suelos,Reptación,lr,6064
-8166737.369,543943.6622,5139,-7.58397098089e+56,11654,34655,71,Flujo,6,Flujo de lodo,Flujo,fl,6065
-8164161.2505,544195.973900001,5140,-7.58397098089e+56,11655,34656,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6066
-8162267.8915,595367.867400002,5141,-7.58397098089e+56,11656,34657,72,Reptación,8,Reptacion de suelos,Reptación,lr,6067
-8162891.2806,594600.7663,5142,-7.58397098089e+56,11658,34658,72,Reptación,8,Reptacion de suelos,Reptación,lr,6068
-8165129.1116,597541.263300002,5143,-7.58397098089e+56,11659,34659,72,Reptación,8,Reptacion de suelos,Reptación,lr,6069
-8165918.8615,601337.263500001,5144,-7.58397098089e+56,11662,34660,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,6070
-8161510.9189,591196.4318,5145,-7.58397098089e+56,11663,34661,72,Reptación,8,Reptacion de suelos,Reptación,lr,6071
-8160586.9672,591455.741700001,5146,-7.58397098089e+56,11664,34662,72,Reptación,8,Reptacion de suelos,Reptación,lr,6072
-8159696.102,590289.942,5147,-7.58397098089e+56,11665,34663,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,6073
-8159329.0569,590350.187899999,5148,-7.58397098089e+56,11667,34664,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6074
-8593294.2075,119542.6384,5149,-7.58397098089e+56,11669,34665,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6075
-8154331.121,542826.735199999,5150,-7.58397098089e+56,11780,34724,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6147
-8142864.595,545771.932700001,5151,-7.58397098089e+56,11671,34667,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,6076
-8593957.4554,130685.856600001,5152,-7.58397098089e+56,11675,34668,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6078
-8141373.2231,547099.326699998,5153,-7.58397098089e+56,11673,34669,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,6077
